id;nome;popularidade;seguidores;genero;spotify;imagem
64M6ah0SkkRsnPGtGiRAbb;Bebe Rexha;85;5121452;['dance pop', 'electropop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb;https://i.scdn.co/image/d7846ef6807a6a5e449997e9d11e5bd8b2d2576a
60d24wfXkVzDSfLS6hyCjZ;Martin Garrix;85;13154079;['big room', 'edm', 'pop', 'progressive house', 'tropical house'];https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ;https://i.scdn.co/image/19b193e731a99776449d2b06742942e1e1f58fb2
6oMuImdp5ZcFhWP0ESe6mG;Migos;85;10350582;['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG;https://i.scdn.co/image/ba2d3bfa4c427f1a12ec667f4138bb5d3ecd661c
699OTQXzgjhIYAHMy9RyPD;Playboi Carti;85;3518338;['atl hip hop', 'hip hop', 'rap', 'trap'];https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD;https://i.scdn.co/image/a47ceed38754e29c1b2c0cb381b005030cbf1ced
63yrD80RY3RNEM2YDpUpO8;Melanie Martinez;85;6680253;['pop', 'post-teen pop'];https://open.spotify.com/artist/63yrD80RY3RNEM2YDpUpO8;https://i.scdn.co/image/92a5ad8518a21a8667f8962cdca0524d34e4771c
3mIj9lX2MWuHmhNCA7LSCW;The 1975;85;4052502;['indie pop', 'modern alternative rock', 'modern rock', 'nu gaze', 'pop', 'rock'];https://open.spotify.com/artist/3mIj9lX2MWuHmhNCA7LSCW;https://i.scdn.co/image/94dd2feca73bdfb7e1c12751b499ec0a46024866
20JZFwl6HVl6yg8a4H3ZqK;Panic! At The Disco;85;9362695;baroque pop;https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK;https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080
1cNDP5yjU5vjeR8qMf4grg;YNW Melly;85;3703645;['melodic rap'];https://open.spotify.com/artist/1cNDP5yjU5vjeR8qMf4grg;https://i.scdn.co/image/030819be90d9cd2438d122215868eb46ed880ebf
4Gso3d4CscCijv0lmajZWs;Don Toliver;85;556731;['rap', 'trap'];https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs;https://i.scdn.co/image/2303addfefa7fa8702c8b9145e6b2902d1e4738b
4IWBUUAFIplrNtaOHcJPRM;James Arthur;84;5958316;['pop', 'post-teen pop', 'talent show', 'uk pop'];https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM;https://i.scdn.co/image/dd8ceb41c23ec3352cfc19df178e7f243d6182e4
4xRYI6VqpkE3UwrDrAZL8L;Logic;84;4622986;['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap'];https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L;https://i.scdn.co/image/efa0b73c2cdaf40b1767b4b1e1254b1cfc5b51db
6icQOAFXDZKsumw3YXyusw;Lil Yachty;84;6169723;['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap'];https://open.spotify.com/artist/6icQOAFXDZKsumw3YXyusw;https://i.scdn.co/image/3d778ad69828b36218507721f3dc24e58cc2c8ee
4GvEc3ANtPPjt1ZJllr5Zl;Bazzi;84;3273221;['pop', 'post-teen pop'];https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl;https://i.scdn.co/image/e459da538d58981518003fdc70d2568a7bc8a4e6
0X2BH1fck6amBIoJhDVmmJ;Ellie Goulding;84;7915413;['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop'];https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ;https://i.scdn.co/image/fdc30f0bdec92a3821fb0dde9a69dd0b8de9275a
711MCceyCBcFnzjGY4Q7Un;AC/DC;84;15090145;['album rock', 'australian rock', 'hard rock', 'rock'];https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un;https://i.scdn.co/image/a16c5d95ede008ec905d6ca6d1b5abbf39ad4566
6TIYQ3jFPwQSRmorSezPxX;Machine Gun Kelly;84;2124766;['pop rap', 'rap'];https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX;https://i.scdn.co/image/ea21df1c0d8fa7d35026c32aafa52e825583a6b4
6cEuCEZu7PAE9ZSzLLc2oQ;R3HAB;84;1986435;['big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house'];https://open.spotify.com/artist/6cEuCEZu7PAE9ZSzLLc2oQ;https://i.scdn.co/image/a157c6e13ffffd135f1465d18103c774d20d053b
4Ga1P7PMIsmqEZqhYZQgDo;Lil Tecca;84;2309961;['melodic rap'];https://open.spotify.com/artist/4Ga1P7PMIsmqEZqhYZQgDo;https://i.scdn.co/image/3d4af4718b5bb0b90cd1e658919eac8add51475b
3fMbdgg4jU18AjLCKBhRSm;Michael Jackson;84;14629946;pop;https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm;https://i.scdn.co/image/51dad9aaabe5643818840207a9a8957c2ad91bf2
1anyVhU62p31KFi8MEzkbf;Chance the Rapper;84;4804907;['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap'];https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf;https://i.scdn.co/image/0433f521b1fadf1d839b6e70c3914021f122901f
7Ln80lUS6He07XvHI8qqHH;Arctic Monkeys;84;9199799;['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie'];https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH;https://i.scdn.co/image/ed0552e9746ed2bbf04ae4bcb5525700ca31522d
1Hsdzj7Dlq2I7tHP7501T4;Niall Horan;83;5180993;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4;https://i.scdn.co/image/a4686e5325963338133068128683d274dc2d645d
6VuMaDnrHyPL1p4EHjYLi7;Charlie Puth;83;10334712;['dance pop', 'pop', 'post-teen pop', 'viral pop'];https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7;https://i.scdn.co/image/41c52b27ac9455bdce53f4713afde1011792b0cc
5ZsFI1h6hIdQRw2ti0hz81;ZAYN;83;11564318;['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop'];https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81;https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
2wUjUUtkb5lvLKcGKsKqsR;Alessia Cara;83;7158841;['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR;https://i.scdn.co/image/56dcc0e8f919ea86b139b4ccd084439e10a8704e
3t5xRXzsuZmMDkQzgOX35S;Robin Schulz;83;2366976;['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'tropical house'];https://open.spotify.com/artist/3t5xRXzsuZmMDkQzgOX35S;https://i.scdn.co/image/f670ddceb7b9828fe0437f226a2e39592320ed96
1Xylc3o4UrD53lo9CvFvVg;Zara Larsson;83;7149887;['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop'];https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg;https://i.scdn.co/image/4335f7f59f44a02afd4a94fed0bee7615414c88b
5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;83;11599140;['dance pop', 'pop', 'post-teen pop'];https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6;https://i.scdn.co/image/b5079187578650ea27fba00480ddf80182777fda
1zNqDE7qDGCsyzJwohVaoX;Anne-Marie;83;5858409;['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop'];https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX;https://i.scdn.co/image/76c6828a43e52bf5f9f04fc415b6f26777794b2c
